,book_id,title,format,authors,size,publicationYear,genres
3,14854.0,Best Friends Forever,Hardcover,9212,368,2009,"fiction,romance,mystery,thriller,crime"
979,17781.0,Shoe Dog: A Memoir by the Creator of NIKE,Hardcover,3319233,386,2016,"history,historical fiction,biography,non-fiction,comics,graphic"
1545,1369.0,Men Explain Things to Me,Paperback,15811,130,2014,"non-fiction,history,historical fiction,biography"
3777,153.0,All the Light We Cannot See,Kindle Edition,28186,531,2014,"fiction,history,historical fiction,biography,young-adult"
3861,31948.0,The Spy,Hardcover,"566,7014936",208,2016,"fiction,history,historical fiction,biography,non-fiction,comics,graphic,mystery,thriller,crime"
4393,41151.0,Touching the Void: The True Story of One Man's Miraculous Survival,Paperback,11193,218,2004,"non-fiction,history,historical fiction,biography,fiction,comics,graphic,mystery,thriller,crime"
4961,14574.0,The Big Short: Inside the Doomsday Machine,Paperback,776,320,2015,"non-fiction,history,historical fiction,biography,fiction,mystery,thriller,crime"
5131,14502.0,Born a Crime: Stories From a South African Childhood,Kindle Edition,15149526,304,2016,"non-fiction,history,historical fiction,biography,comics,graphic"
5992,17417.0,I Am Legend,Paperback,8726,160,1999,"fiction,fantasy,paranormal,mystery,thriller,crime"
6661,126.0,"The Name of the Wind (The Kingkiller Chronicle, #1)",Hardcover,108424,662,2007,"fantasy,paranormal,fiction,young-adult,romance"
7275,28659.0,The Cross and the Switchblade,Paperback,"5771515,46740,46741",176,1986,"non-fiction,history,historical fiction,biography,fiction,comics,graphic,mystery,thriller,crime"
8625,1339.0,We Should All Be Feminists,Kindle Edition,11291,52,2014,non-fiction
9562,19799.0,Brooklyn,Hardcover,1351903,262,2009,"fiction,history,historical fiction,biography,romance"
11275,7379.0,Batman: Year One,Paperback,"15085,28995,821898,28710",144,2005,"comics,graphic,fiction,mystery,thriller,crime,fantasy,paranormal,young-adult"
11565,14589.0,Hunger Makes Me a Modern Girl,Hardcover,1026791,244,2015,"non-fiction,history,historical fiction,biography,comics,graphic"
