,user_id,book_id,rating
322047,672,536,5
322048,672,943,5
322053,672,7008,4
322135,672,19859,3
322136,672,807,4
322148,672,410,4
1576178,3124,1233,5
1576184,3124,7000,0
1576245,3124,7325,0
1576246,3124,6809,0
1576280,3124,7499,3
3580300,7061,438,5
3580331,7061,8042,5
3580334,7061,14024,5
3580350,7061,8043,5
3580353,7061,8058,5
3580358,7061,16422,5
3580396,7061,1004,5
3760150,7421,21164,5
3760159,7421,1203,5
3760160,7421,739,5
3760161,7421,810,5
3760162,7421,325,5
3893934,7694,1065,4
3893935,7694,35746,3
3893936,7694,35047,4
3893941,7694,25032,2
3893942,7694,739,2
4515860,8931,856,4
4515877,8931,14823,4
4515898,8931,7300,0
4515912,8931,317,0
4515935,8931,412,0
4539170,8981,20614,5
4539171,8981,41207,5
4539172,8981,49479,5
4539190,8981,167265,0
4539223,8981,23350,0
4596956,9093,786,5
4596978,9093,7376,5
4597045,9093,20612,5
4597054,9093,18723,5
4597066,9093,182,5
4597067,9093,17305,5
5959028,11773,1605,5
5959078,11773,14591,2
5959080,11773,19492,0
5959083,11773,1518,0
5959084,11773,17873,3
7669783,15227,943,5
7669785,15227,862,1
7669786,15227,786,5
7669876,15227,1611,5
7669884,15227,4477,5
10580453,20649,13185,0
10580458,20649,8142,0
10580459,20649,23176,0
10580505,20649,16825,0
10580512,20649,25161,4
10894177,21284,821,5
10894178,21284,28875,0
10894184,21284,70626,4
10894242,21284,23374,3
10894256,21284,23360,1
11957613,23352,536,3
11957631,23352,943,5
11957645,23352,1012,5
11957850,23352,15474,4
11957913,23352,174,5
16053396,31505,909,5
16053400,31505,171,5
16053404,31505,792,5
16053407,31505,488,5
16053418,31505,14053,4
16053467,31505,14059,3
16053493,31505,365,5
16053505,31505,8043,5
18422715,36131,536,5
18422726,36131,1473,5
18422729,36131,1526,3
18422731,36131,7465,4
18422733,36131,7432,5
18561927,36448,858,5
18561956,36448,943,5
18562011,36448,15090,5
18562021,36448,21422,0
18562043,36448,12876,5
24910168,49090,167265,5
24910174,49090,23172,5
